registration,make,model,procSpeed
6o0Nfq8,HP,Omen,3.4
wxFOIfI,Razer,Blade,3.6
ewHP6xx,Razer,Blade,3.5
DSHV6Wz,HP,Omen,3.0
CSb7Qxy,Lenovo,Legion,3.5
Uyh1pSe,Acer,Predator,3.8
IJlx2tj,Razer,Blade,3.1
YkAiPnC,Acer,Predator,3.4
UtRiPaw,Razer,Blade,3.3
ZHhnWID,Acer,Predator,3.5
e1whn9y,Razer,Blade,3.7
Cx6Eyf4,Razer,Blade,3.3
GIKxfzB,Razer,Blade,3.8
oImogcu,Lenovo,Legion,3.0
qUMEAN7,Razer,Blade,3.8
W0YtkKG,HP,Omen,3.8
quTPpVZ,Razer,Blade,3.3
zli3g7M,Razer,Blade,3.4
ZaShV7k,Acer,Predator,3.5
5e43HZA,Lenovo,Legion,3.8
0ClmWBl,HP,Omen,3.2
5AXe8zm,Razer,Blade,3.2
xhwnPAv,HP,Omen,3.7
bKfM2XR,Razer,Blade,3.0
xqhKsM4,Acer,Predator,3.5
76mvbAb,HP,Omen,3.5
R8V0SwA,Razer,Blade,3.8
JaHQP5I,Acer,Predator,3.2
Vn8lT7f,MSI,Raider,3.0
1MZIkGC,Razer,Blade,3.4
nwDast3,Razer,Blade,3.6
DcTBqWu,Asus,ROG,3.3
RZm3htp,Razer,Blade,3.4
kG4mymM,Acer,Predator,3.3
ThqPiZk,HP,Omen,3.8
oi768zm,Razer,Blade,3.5
LQMgELT,Razer,Blade,3.5
uLYmfkY,Razer,Blade,3.7
yMhxpJI,Razer,Blade,3.3
mexmNSJ,Lenovo,Legion,3.6
wdq8EnE,MSI,Raider,3.3
hdYLzLB,Razer,Blade,3.6
cygSrGO,Razer,Blade,3.0
GBQf2Se,Razer,Blade,3.3
t7K8cm1,Asus,ROG,3.7
DQfQcEo,Razer,Blade,3.5
jdr8Cce,Razer,Blade,3.0
pieAqAt,Razer,Blade,3.2
zuYXC9B,Asus,ROG,3.6
IoCswz2,Razer,Blade,3.4
08A186G,Razer,Blade,3.5
bGNuppS,Razer,Blade,3.5
xB0GPr8,Razer,Blade,3.5
PPsmzqN,Alienware,Area-51,3.8
B8wVNo2,Razer,Blade,3.7
cZTgR4H,Razer,Blade,3.2
h3oBYMi,Alienware,Area-51,3.6
CSRQy6A,Razer,Blade,3.1
nRghyam,Razer,Blade,3.0
j4QNlUU,Asus,ROG,3.8
WIODha9,Lenovo,Legion,3.6
a8aLgKe,Lenovo,Legion,3.3
vIBbgKQ,Lenovo,Legion,3.1
LF6qg1L,Razer,Blade,3.0
9llbKmN,HP,Omen,3.4
5oQK5RM,Acer,Predator,3.5
j3gnP3w,Razer,Blade,3.8
qKy2gYM,Razer,Blade,3.7
5mKjNYV,MSI,Raider,3.1
OMtOVMx,Razer,Blade,3.0
UY9jdRN,Razer,Blade,3.7
UU2651E,Razer,Blade,3.6
3lDRJHc,MSI,Raider,3.0
uABh7jd,MSI,Raider,3.8
Uf2bY6P,Razer,Blade,3.0
Wa30z0D,Alienware,Area-51,3.4
ac6DvsN,Razer,Blade,3.5
fPgxaEV,Razer,Blade,3.4
MMZv5UF,Razer,Blade,3.3
Xh9NJgM,Acer,Predator,3.8
wU3KoKW,Alienware,Area-51,3.2
Zt8xuWh,Razer,Blade,3.6
4m8pRjT,Acer,Predator,3.1
VgttdUs,Razer,Blade,3.3
wAP3PWT,Razer,Blade,3.1
FIybB4k,Razer,Blade,3.3
EqmVCbw,MSI,Raider,3.3
6tXhyOy,Razer,Blade,3.1
tsyUf3w,Alienware,Area-51,3.6
cnNAAKe,HP,Omen,3.7
mUNtdWt,Razer,Blade,3.2
AX5CK4Y,Razer,Blade,3.5
mJTwlIA,Acer,Predator,3.0
jzSEeUn,Alienware,Area-51,3.3
8UcgP3E,Acer,Predator,3.0
g3xKjRD,Razer,Blade,3.2
T71rKaO,MSI,Raider,3.7
6uBpp2T,Alienware,Area-51,3.8
vgwUeWo,Asus,ROG,3.0
E7j72Wr,Razer,Blade,3.2
Ougqlhu,Razer,Blade,3.8
AZqv3ly,Alienware,Area-51,3.8
NO3Mt17,Asus,ROG,3.2
t9uXOtT,Razer,Blade,3.2
Md9JfXi,HP,Omen,3.3
yQ6UqAa,Lenovo,Legion,3.6
QP6VZAb,Razer,Blade,3.1
uylHhx1,Razer,Blade,3.4
ZDMmq97,Razer,Blade,3.8
vFTDMwB,Acer,Predator,3.1
wM1fLdQ,Razer,Blade,3.5
75LkO7G,Razer,Blade,3.6
QPu3VPJ,Razer,Blade,3.6
LwaSjMD,Razer,Blade,3.8
x2W5mUv,Razer,Blade,3.6
19mNJ31,Razer,Blade,3.6
p2yTfYi,HP,Omen,3.1
DZlRu2n,Asus,ROG,3.8
BwfFMS0,MSI,Raider,3.1
LrINF3W,Asus,ROG,3.8
1spMCLq,Razer,Blade,3.5
vmL2rs2,Asus,ROG,3.5
eaIQP3a,Razer,Blade,3.3
l5kS5i8,Alienware,Area-51,3.2
7GqRfhq,MSI,Raider,3.1
TiziI0t,Razer,Blade,3.5
22stJKK,Razer,Blade,3.0
x0wJQe5,MSI,Raider,3.6
ekKbdTe,HP,Omen,3.6
F8YhM4L,MSI,Raider,3.4
O8oVma1,Razer,Blade,3.8
esfrNxs,Razer,Blade,3.7
cwxpsbM,MSI,Raider,3.0
zZjB6pj,Razer,Blade,3.0
skoF8o0,HP,Omen,3.0
bdthTn9,HP,Omen,3.2
inItDt9,Razer,Blade,3.7
M7eEWlc,Lenovo,Legion,3.2
Rc6VTph,Asus,ROG,3.7
CPlPUyz,Acer,Predator,3.2
VQcvZ5D,MSI,Raider,3.4
zMJOHpj,Razer,Blade,3.7
asPAXrD,MSI,Raider,3.4
MJTP8i2,Razer,Blade,3.3
vHjxR6L,Lenovo,Legion,3.5
msiNo2M,Razer,Blade,3.3
Hbc6KEK,Acer,Predator,3.0
BKCfbRN,Razer,Blade,3.6
KiN2KpZ,Razer,Blade,3.1
DAUi9gf,Asus,ROG,3.6
VDqm3rP,Razer,Blade,3.7
uElCnqb,Razer,Blade,3.6
Gb3KGNu,Alienware,Area-51,3.7
EovZKUg,Razer,Blade,3.1
3tgNYmR,Acer,Predator,3.2
n1EBCA4,Razer,Blade,3.5
KOLZvQJ,Razer,Blade,3.8
rKTC6GE,Asus,ROG,3.4
nuEGmGJ,Razer,Blade,3.1
2bloiil,Asus,ROG,3.6
G0TgUyA,Asus,ROG,3.1
Lh4bzhq,Razer,Blade,3.6
yJpvld1,Razer,Blade,3.0
XFEINqz,Razer,Blade,3.0
RpTj2Vt,Razer,Blade,3.1
lTupSJx,Razer,Blade,3.5
vZHy2gp,Razer,Blade,3.3
f30JK46,Razer,Blade,3.8
4doedQk,Razer,Blade,3.7
jRp58eA,Razer,Blade,3.8
7fNbEeD,Razer,Blade,3.3
5aGXIco,Razer,Blade,3.7
vqAj6z6,Razer,Blade,3.0
