I Married a Strange Person	
24 7: Twenty Four Seven	
Four Rooms	
The Four Seasons	
Ace Ventura: Pet Detective	
American Graffiti	
Annie Hall	
Bon Cop, Bad Cop	
Big	
Bananas	
Blazing Saddles	
Bill & Ted's Excellent Adventure	
Beetle Juice	
Bienvenue chez les Ch'tis	
Caddyshack	
Casino Royale	
A Christmas Story	
Crooklyn	
Festen	
Clueless	
Clerks	
Bacheha-Ye aseman	
Cool Runnings	
Crocodile Dundee	
Catch-22	
Dumb & Dumber	
The Addams Family	
Diner	
Do the Right Thing	
Edward Scissorhands	
Ed Wood	
Fetching Cody	
Funny Ha Ha	
The Front Page	
Friday	
Fast Times at Ridgemont High	
Flirting with Disaster	
Ghostbusters	
Good Morning Vietnam	
Groundhog Day	
Gremlins	
Get Real	
Gremlins 2: The New Batch	
Get Shorty	
Happiness	
Hero	
History of the World: Part I	
Home Alone	
Happy Gilmore	
The Hudsucker Proxy	
A Hard Day's Night	
Kingpin	
Lage Raho Munnabhai	
Aladdin	
Love and Death	
A League of Their Own	
The Mask	
Mars Attacks!	
My Cousin Vinny	
Modern Times	
Major League	
Mallrats	
Mrs. Doubtfire	
Mutual Appreciation	
The Muppet Christmas Carol	
The Naked Gun 2Ω: The Smell of Fear	
Naked Gun 33 1/3: The Final Insult	
Police Academy	
Peggy Sue Got Married	
Radio Days	
Rain Man	
Airplane!	
Repo Man	
She's Gotta Have It	
Sleeper	
Simon	
Smoke Signals	
Serial Mom	
Silent Movie	
The Santa Clause	
Spaceballs	
Splash	
Stripes	
Swingers	
There Goes My Baby	
Tootsie	
Les Visiteurs	
Waiting for Guffman	
Who Framed Roger Rabbit?	
Welcome to the Dollhouse	
Wayne's World	
13 Going On 30	
The 40 Year-old Virgin	
The Whole Nine Yards	
Adaptation	
Alfie	
A Lot Like Love	
Almost Famous	
Bruce Almighty	
Le Fabuleux destin d'AmÈlie Poulain	
American Pie 2	
American Wedding	
American Pie	
Anchorman: The Legend of Ron Burgundy	
Anger Management	
Analyze This	
Pieces of April	
A Serious Man	43553570
Austin Powers: The Spy Who Shagged Me	
Austin Powers in Goldmember	
Austin Powers: International Man of Mystery	
Away We Go	23348902
The Bad News Bears	
The Battle of Shaker Heights	
Baby Mama	149189971
The Broken Hearts Club: A Romantic Comedy	
Beavis and Butt-head Do America	
Bee Movie	493854735
The Importance of Being Earnest	
The Big Lebowski	
Big Trouble	
Blast from the Past	
Blades of Glory	313408137
Legally Blonde	
Bandits	
Bolt	510607800
Bon Voyage	
Borat	452740278
Heartbreakers	
In Bruges	42050823
Barbershop	
Best in Show	
Bad Santa	
Bubba Ho-Tep	
Buffalo '66	
Buffalo Soldiers	
Bulworth	
Bowfinger	
Can't Hardly Wait	
Cars	952121303
Celebrity	
Charlie and the Chocolate Factory	
Clerks II	76453582
Curious George	176564079
Cloudy with a Chance of Meatballs	306970365
Date Night	270397631
Despicable Me	
Dick	
Dogma	
Detroit Rock City	
Drop Dead Gorgeous	
You, Me and Dupree	247855271
Easy A	
East is East	
Elf	
Ella Enchanted	
Eternal Sunshine of the Spotless Mind	
Eulogy	
Eurotrip	
Extract	
The Family Stone	175787145
Fear and Loathing in Las Vegas	
Flushed Away	313357275
The Family Man	
Friends with Money	36519567
Freaky Friday	
The Full Monty	
Fun With Dick And Jane	342438269
Funny People	137456459
Fever Pitch	
For Your Consideration	
The Good Girl	
Gosford Park	
The Game Plan	288676063
Galaxy Quest	
Saving Grace	
The Grand	
Ghost World	
Half Baked	
Happy, Texas	
Hoodwinked	192569157
High Fidelity	
The History Boys	
Harold & Kumar Escape from Guantanamo Bay	105950342
Harold & Kumar Go to White Castle	
How to Lose Friends & Alienate People	
Hamlet 2	
The Hangover	908371349
Hot Rod	52425453
The Hitchhiker's Guide to the Galaxy	
Hot Fuzz	136208055
How to Train Your Dragon	
I Heart Huckabees	
Starsky & Hutch	
An Ideal Husband	
Igby Goes Down	
But I'm a Cheerleader	
In & Out	
I Now Pronounce You Chuck and Larry	374768077
The Invention of Lying	55679224
Ira and Abby	
Jackass: Number Two	205408349
Jackass: The Movie	
The Curse of the Jade Scorpion	
Jersey Girl	
Jay and Silent Bob Strike Back	
Julie & Julia	261618043
Juno	431435310
The Kentucky Fried Movie	
Kicking and Screaming	
The Ladykillers	
Lars and the Real Girl	19070844
L'auberge espagnole	
Last Holiday	111624851
Liar Liar	
The Life Aquatic with Steve Zissou	
Little Miss Sunshine	215916027
In the Land of Women	35069378
Lonesome Jim	
The Longest Yard	
Made	
Madagascar: Escape 2 Africa	888253598
The Man Who Knew Too Little	
Vicky Cristina Barcelona	108703644
Nanny McPhee	211861638
Mean Girls	
Miss Congeniality	
Mumford	
MoliËre	
Monsoon Wedding	
Meet the Fockers	
Meet the Parents	
Mrs. Henderson Presents	31298793
Mouse Hunt	
Muppets From Space	
Night at the Museum	978734085
A Mighty Wind	
My Best Friend's Wedding	
My Fellow Americans	
In Good Company	
Napoleon Dynamite	
Orange County	
Ocean's Eleven	
Old School	
Patch Adams	
The Devil Wears Prada	547148381
The Boat That Rocked	46865071
Primary Colors	
Punch-Drunk Love	
Ratatouille	1016075373
Recess: School's Out	
Remember Me, My Love	
The Replacements	
Be Kind Rewind	44842920
Real Women Have Curves	
Romance and Cigarettes	
The Rocker	23147275
Rat Race	
Road Trip	
Saved!	
The School of Rock	
Shaun of the Dead	
Shortbus	
The Simpsons Movie	806565121
Slums of Beverly Hills	
Smokin' Aces	127527026
Lemony Snicket's A Series of Unfortunate Events	
Soul Food	
Spanglish	
Superbad	425881825
Scott Pilgrim vs. The World	
Saint Ralph	
Small Time Crooks	
Stranger Than Fiction	116607091
Super Troopers	
Sydney White	31499158
Sex Drive	29060850
Tadpole	
Talladega Nights: The Ballad of Ricky Bobby	396065126
Taxman	
Team America: World Police	
The Big Tease	
The Kids Are All Right	
Tropic Thunder	349012062
Thumbsucker	
Dodgeball: A True Underdog Story	
The Visitor	
The Wackness	
